NATIONAL_FLIGHT_ID,FLIGHT_EVENT_DATE,FLIGHT_FIX_LATITUDE_DEG,FLIGHT_FIX_LONGITUDE_DEG,FLIGHT_FIX_ALTITUDE_ESTAB_FT
127022860,18-01-26 00:02:34,45.31175241,-75.65604846,306
127022860,18-01-26 00:02:30,45.31175241,-75.65604846,306
127022860,18-01-26 00:02:25,45.31090818,-75.65426066,397
127022860,18-01-26 00:02:46,45.31175241,-75.65604846,306
127022860,18-01-26 00:02:40,45.31175241,-75.65604846,306
127022860,18-01-26 00:02:01,45.307271,-75.64712822,488
127022860,18-01-26 00:02:05,45.30810247,-75.64854734,488
127022860,18-01-26 00:02:10,45.30893393,-75.64996651,397
127022860,18-01-26 00:02:20,45.31034963,-75.65319164,397
127022860,18-01-26 00:02:15,45.30951822,-75.6517724,397
127022860,18-01-26 00:01:36,45.30390627,-75.64034686,580
127022860,18-01-26 00:01:41,45.30473783,-75.6417658,580
127022860,18-01-26 00:01:46,45.30529648,-75.64283459,488
127022860,18-01-26 00:01:56,45.30669951,-75.6456909,488
127022860,18-01-26 00:01:51,45.30612801,-75.6442536,488
127022860,18-01-26 00:01:12,45.30055407,-75.6339347,671
127022860,18-01-26 00:01:17,45.3013728,-75.63498505,671
127022860,18-01-26 00:01:22,45.30220441,-75.63640385,671
127022860,18-01-26 00:01:31,45.3033476,-75.63927811,580
127022860,18-01-26 00:01:27,45.30277601,-75.63784097,580
127022860,18-01-26 00:00:47,45.2945095,-75.63251353,853
127022860,18-01-26 00:00:52,45.29604367,-75.63166701,853
127022860,18-01-26 00:00:57,45.29733076,-75.63120712,853
127022860,18-01-26 00:01:07,45.29972242,-75.63251598,671
127022860,18-01-26 00:01:02,45.29890368,-75.63146569,762
127022860,18-01-26 00:00:42,45.29297532,-75.63336001,944
127022860,18-01-26 00:00:38,45.29171404,-75.63455651,944
127022860,18-01-26 00:02:34,45.31155153,-75.65697211,306
127022860,18-01-26 00:02:30,45.31076062,-75.65512313,306
127022860,18-01-26 00:02:25,45.31023253,-75.6536433,397
127022860,18-01-26 00:02:46,45.31155153,-75.65697211,306
127022860,18-01-26 00:02:40,45.31155153,-75.65697211,306
127022860,18-01-26 00:02:01,45.30654642,-75.64662234,488
127022860,18-01-26 00:02:05,45.30733625,-75.64810027,488
127022860,18-01-26 00:02:10,45.3078632,-75.64920917,397
127022860,18-01-26 00:02:20,45.30944398,-75.65253601,397
127022860,18-01-26 00:02:15,45.308653,-75.65068717,397
127022860,18-01-26 00:01:36,45.30312275,-75.63997134,580
127022860,18-01-26 00:01:41,45.30364978,-75.64108007,580
127022860,18-01-26 00:01:46,45.30443969,-75.64255783,488
127022860,18-01-26 00:01:56,45.30575656,-75.64514446,488
127022860,18-01-26 00:01:51,45.30522834,-75.64366487,488
127022860,18-01-26 00:01:12,45.29943703,-75.63332299,671
127022860,18-01-26 00:01:17,45.30022704,-75.63480052,671
127022860,18-01-26 00:01:22,45.30101577,-75.63590736,671
127022860,18-01-26 00:01:31,45.30233281,-75.63849365,580
127022860,18-01-26 00:01:27,45.30180449,-75.63701422,580
127022860,18-01-26 00:00:47,45.29263682,-75.63411117,853
127022860,18-01-26 00:00:52,45.29420287,-75.63298831,853
127022860,18-01-26 00:00:57,45.29577019,-75.63223609,853
127022860,18-01-26 00:01:07,45.29838663,-75.63221803,671
127022860,18-01-26 00:01:02,45.29707714,-75.63185635,762
127022860,18-01-26 00:00:42,45.29133114,-75.63486149,944
127022860,18-01-26 00:00:38,45.28976633,-75.63635489,944
127022860,18-01-26 00:03:23,45.31944416,-75.67064365,851
127022860,18-01-26 00:03:18,45.31839298,-75.66916668,851
127022860,18-01-26 00:03:13,45.31760458,-75.66805899,761
127022860,18-01-26 00:03:28,45.32049532,-75.67212068,942
127022860,18-01-26 00:02:59,45.31497184,-75.66288358,488
127022860,18-01-26 00:02:54,45.31497184,-75.66288358,397
